can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,points_per_minute,goals_per_minute,assists_per_minute,position,team_name,fixture_difficulty,defensive_value,attacking_value,form_score,value_score,captain_score,expected_ppg,position_encoded,points_per_90,goals_per_90,assists_per_90,points_per_cost,cost_efficiency,creativity_threat,influence_minutes,gk_saves_value,def_clean_sheet_value,mid_creativity_value,fwd_goal_value,recent_form,consistency,card_risk,injury_risk,ownership_trend,value_vs_ownership,captain_potential,overall_value,predicted_points
True,True,0.0,0.0,72147,0,0,0,0,0,1,2.3,1.8,7,Marco,7.0,33,False,,,4.5,72147.jpg,7.0,False,Bizot,0.5,False,,a,2,7,7,6553,6553,1166,1166,1.6,1.6,M.Bizot,152.0,2025-07-15,1991-03-10,False,p72147,90,0,0,1,0,0,0,0,0,0,3,0,29,19.6,0.0,0.0,2.0,1,12,0,0,1,0.00,0.00,0.00,1.43,50,9,284,49,245,49,100,9,0.0,,0.0,,0.0,,0.0,3.0,0.0,0.0,1.43,0.0,363,19,21,4,21,4,247,34,1.0,1.0,0.0,0.07777777777777778,0.0,0.0,GK,Aston Villa,2.7607548840048843,4.0,2.9000000000000004,7.0,15.555555555555555,10.250356227106227,7.0,0,7.0,0.0,0.0,1.5555555555555556,1.5555555555555556,0.0,19.6,0.30000000000000004,0,0.0,0,7.0,7.0,0,0,0.5,1.037037037037037,7.307849023199023,5.428236471306471,7.001095978142108
True,True,0.0,0.0,199796,0,0,0,0,0,2,1.9,1.4,8,Matty,8.0,36,False,,,4.5,199796.jpg,8.0,False,Cash,2.5,False,,a,2,7,8,34331,34331,2484,2484,1.8,1.8,Cash,172.0,2020-09-03,1997-08-07,False,p199796,90,0,0,1,0,0,0,0,0,0,0,0,25,37.6,1.1,2.0,4.1,9,2,2,11,1,0.00,0.00,0.00,1.43,14,3,122,43,90,23,52,12,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.43,0.0,394,88,15,6,15,6,107,37,1.0,1.0,11.0,0.08888888888888889,0.0,0.0,DEF,Aston Villa,2.7607548840048843,4.0,2.5,8.0,17.77777777777778,11.394800671550671,8.0,1,8.0,0.0,0.0,1.7777777777777777,1.7777777777777777,2.2,37.6,0.0,4,0.0,0,8.0,8.0,0,0,2.5,0.5079365079365079,9.807849023199022,6.494903137973138,8.019964114601262
True,True,0.0,0.0,101188,0,0,0,0,0,2,1.9,1.4,6,Lucas,6.0,37,False,,,4.5,101188.jpg,6.0,False,Digne,1.9,False,,a,2,7,6,7076,7076,1223,1223,1.3,1.3,Digne,73.0,2022-01-13,1993-07-20,False,p101188,90,0,0,1,0,0,0,0,0,0,0,0,22,11.6,5.8,0.0,1.7,5,3,2,7,1,0.00,0.01,0.01,1.43,86,37,72,21,250,117,109,36,7.0,,2.0,,0.0,,0.0,0.0,0.01,0.01,1.43,0.0,369,70,26,9,26,9,128,44,1.0,1.0,7.0,0.06666666666666667,0.0,0.0,DEF,Aston Villa,2.7607548840048843,4.0,2.2,6.0,13.333333333333332,9.105911782661783,6.0,1,6.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,11.6,0.0,4,0.0,0,6.0,6.0,0,0,1.9,0.45977011494252873,5.807849023199023,4.561569804639804,5.997162092525092
True,True,0.0,0.0,199798,0,0,0,0,0,2,0.0,1.4,3,Ezri,3.0,38,False,Suspended until 31 Aug,2025-08-16T19:30:05.327199Z,4.5,199798.jpg,3.0,False,Konsa Ngoyo,22.1,False,,s,2,7,3,14020,14020,66335,66335,0.7,0.7,Konsa,241.0,2019-07-11,1997-10-23,False,p199798,65,0,0,1,0,0,0,0,0,1,0,0,15,1.8,1.1,0.0,0.3,3,1,0,3,1,0.00,0.01,0.01,1.11,152,59,123,44,273,133,168,59,0.0,,0.0,,0.0,,0.0,0.0,0.01,0.01,1.54,0.0,395,89,56,20,56,20,17,6,1.38,1.38,4.15,0.046153846153846156,0.0,0.0,DEF,Aston Villa,2.7607548840048843,4.0,1.5,4.153846153846154,6.666666666666666,6.018732295482295,4.153846153846154,1,4.153846153846154,0.0,0.0,0.6666666666666666,0.9230769230769231,0.0,1.3,0.0,4,0.0,0,4.153846153846154,4.153846153846154,3,0,22.1,0.028860028860028857,3.5355413308913315,2.637877496947497,3.01883338394879
True,True,0.0,0.0,149484,0,0,0,0,0,2,1.9,1.4,6,Tyrone,6.0,40,False,,,4.5,149484.jpg,6.0,False,Mings,0.9,False,,a,2,7,6,8108,8108,1033,1033,1.3,1.3,Mings,241.0,2019-07-08,1993-03-13,False,p149484,90,0,0,1,0,0,0,0,0,0,0,0,25,13.0,3.7,0.0,1.7,5,2,0,5,1,0.00,0.00,0.00,1.43,77,31,81,26,263,127,110,37,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.43,0.0,382,80,27,10,27,10,181,64,1.0,1.0,5.0,0.06666666666666667,0.0,0.0,DEF,Aston Villa,2.7607548840048843,4.0,2.5,6.0,13.333333333333332,9.105911782661783,6.0,1,6.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,13.0,0.0,4,0.0,0,6.0,6.0,0,0,0.9,0.7017543859649122,5.947849023199023,4.589569804639805,5.998814168828511
True,True,100.0,100.0,244850,0,0,0,0,0,3,2.3,1.8,3,Morgan,3.0,47,False,,2025-08-10T22:00:04.458365Z,7.0,244850.jpg,3.0,False,Rogers,10.1,False,,a,2,7,3,14471,14471,22425,22425,0.4,0.4,Rogers,241.0,2024-02-01,2002-07-26,False,p244850,90,0,0,1,0,0,0,0,0,0,0,0,7,7.2,20.1,4.0,3.1,1,5,1,7,1,0.00,0.05,0.05,1.43,109,42,28,20,84,49,68,37,0.0,,0.0,,0.0,,0.0,0.0,0.05,0.05,1.43,0.0,35,22,75,42,75,42,42,12,1.0,1.0,7.0,0.03333333333333333,0.0,0.0,MID,Aston Villa,2.7607548840048843,4.0,0.7000000000000001,3.0,4.285714285714286,5.196387973137973,3.0,2,3.0,0.0,0.0,0.42857142857142855,0.42857142857142855,80.4,7.2,0.0,0,2.0100000000000002,0,3.0,3.0,0,0,10.1,0.03861003861003861,3.2678490231990236,2.282141233211233,2.997391032007688
True,True,0.0,0.0,166989,0,0,0,0,0,3,2.1,1.6,3,Youri,3.0,48,False,,,6.0,166989.jpg,3.0,False,Tielemans,2.3,False,,a,2,7,3,3687,3687,5790,5790,0.5,0.5,Tielemans,21.0,2023-06-14,1997-05-07,False,p166989,90,0,0,1,0,0,0,0,0,0,0,0,5,4.0,1.1,0.0,0.5,3,2,2,7,1,0.00,0.01,0.01,1.43,128,55,125,71,622,262,161,77,3.0,,0.0,,4.0,,0.0,0.0,0.01,0.01,1.43,0.0,86,59,68,35,68,35,112,37,1.0,1.0,7.0,0.03333333333333333,0.0,0.0,MID,Aston Villa,2.7607548840048843,4.0,0.5,3.0,5.0,5.339245115995116,3.0,2,3.0,0.0,0.0,0.5,0.5,0.0,4.0,0.0,0,0.11000000000000001,0,3.0,3.0,0,0,2.3,0.15151515151515152,2.9478490231990233,2.2395698046398045,2.9969201124853777
True,True,0.0,0.0,204646,0,0,0,0,0,3,2.0,1.5,1,Donyell,1.0,53,False,,,5.5,204646.jpg,1.0,False,Malen,1.9,False,,a,2,7,1,1593,1593,14048,14048,0.2,0.2,Malen,152.0,2025-01-14,1999-01-19,False,p204646,6,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,17.0,2.0,0,0,0,0,0,0.03,0.00,0.03,0.10,140,63,576,238,35,22,103,49,0.0,,0.0,,0.0,,0.45,0.0,0.0,0.45,1.5,0.0,144,95,148,77,148,77,133,42,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,MID,Aston Villa,2.7607548840048843,0.0,0.4,15.0,1.8181818181818181,7.50288147963148,15.0,2,15.0,0.0,0.0,0.18181818181818182,2.727272727272727,0.0,0.2,0.0,0,0.0,0,15.0,15.0,0,1,1.9,0.06269592476489029,11.247849023199024,5.604115259185259,1.0011139475242279
True,True,0.0,0.0,122806,0,0,0,0,0,3,2.0,1.5,3,John,3.0,54,False,,,5.5,122806.jpg,3.0,False,McGinn,0.7,False,,a,2,7,3,1900,1900,1994,1994,0.5,0.5,McGinn,243.0,2018-08-08,1994-10-18,False,p122806,83,0,0,1,0,0,0,0,0,0,0,0,10,5.0,19.3,6.0,3.0,0,7,0,7,1,0.00,0.09,0.09,1.33,120,49,30,21,64,36,71,38,6.0,,6.0,,0.0,,0.0,0.0,0.1,0.1,1.44,0.0,124,80,63,31,63,31,217,70,1.08,1.08,7.59,0.03614457831325301,0.0,0.0,MID,Aston Villa,2.7607548840048843,4.0,1.0,3.2530120481927707,5.454545454545454,5.506057821362038,3.2530120481927707,2,3.2530120481927707,0.0,0.0,0.5454545454545454,0.5914567360350492,115.80000000000001,4.611111111111112,0.0,0,1.9300000000000002,0,3.2530120481927707,3.2530120481927707,0,0,0.7,0.32085561497326204,3.224957456933963,2.3592302646617105,2.9980581835522795
True,True,0.0,0.0,226944,0,0,0,0,0,3,1.5,1.0,2,Boubacar,2.0,58,False,,,5.0,226944.jpg,2.0,False,Kamara,0.2,False,,a,2,7,2,732,732,683,683,0.4,0.4,Kamara,73.0,2022-06-11,1999-11-23,False,p226944,90,0,0,1,0,0,0,0,1,0,0,0,13,13.8,2.2,17.0,3.3,3,6,2,11,1,0.05,0.03,0.08,1.43,71,28,97,60,34,21,64,34,0.0,,0.0,,0.0,,0.05,0.0,0.03,0.08,1.43,0.0,277,172,93,50,93,50,352,116,1.0,1.0,11.0,0.022222222222222223,0.0,0.0,MID,Aston Villa,2.7607548840048843,4.0,1.3,2.0,4.0,4.439245115995115,2.0,2,2.0,0.0,0.0,0.4,0.4,37.400000000000006,13.8,0.0,0,0.22000000000000003,0,2.0,2.0,1,0,0.2,0.33333333333333337,3.227849023199023,1.7655698046398047,2.0001368874394894
